id_comentario	comentario	rotulo
UgwSi7iKN9ffwXVY8ZB4AaABAg.9LWNYvzfEMj9LZpv7cu3fq	ramos garcia problema seu queridofique ai nesse pais enquanto a gente sonhaporque quanto mais sonha mais acontece	0
Ugx-NK2CzSmrOJS93sd4AaABAg	parabens guerreira	1
UgwBwOKNq1ylirzYKMZ4AaABAg.9LThSjXIrUv9LUPX9OHQp7	guig fc ele estava atirando pra cima  se fosse um bandido serio mesmo vc ia ver na globo  nas redes sociais pessoas falando que nao precisava atirar que matou um cidadao  que a policia deve ser melhor treinada essas coisas 	-1
UgxKETkowCNXX_0AzOh4AaABAg	a mulher cangaceira porreta 	0
Ugz6Xb18szqS9FIc40l4AaABAg	a pm de salvador super preparada mostrando como cair em cima do k9 durante a operacao	1
Ugw9YGN6m0B_ZBSmSl54AaABAg.9LVMInKoLU79LVNyuuVq51	theo calma seu theo a verdade vai vir tona e so esperar	0
UgxKWPYxBsT62eHDSgh4AaABAg.9LjF5ZCQ4kb9Pf2nWkNQKM	presta atencao no baralho cada estalo desses e um tiro disparado por wesley ele efetua o primeiro disparo estalo o operador do bope efetua disparos nao ha estalo justamente pq os tiros estao na direcao oposta wesley e alvejado e cai mas continua atirando em sequencia mais estalos o operador do bope se posiciona e efetua mais 3 disparos de fuzil um segundo operador que esta armado com uma cal 12 com municao de elastomero avanca efetuando disparos nao letais afim de fazelo largar o armamento por fim wesley e novamente alvejado e cessa a agressao nao houve erro algum	1
UgyyB3YCXg49vaa6xRR4AaABAg.9LUZR0vKN0M9LVYBxFAh5T	raro so se for na china aqui no bananil isso e rotina	0
Ugw2wL0R2R2NyohIrPt4AaABAg.9LWV6AtItfF9LZsudg9oxA	bayern terror dos neymarzetes olha so vc e ninguem que bom saber ninguem respondeu porque   falei a verdade e quando um bando de besta ignorantes escuta a verdade os que sao mais ou menos inteligente ficam calado por acaso falei alguma mentira klkkk tu deve ser o tipinho que vive as custa da mamae e que nao aguentaria viver 1 dia na situacao que os homens queriam antigamente cuida vai pegar alguns bandidos armados e mostrar que nao e feminista se ta dando palpine aqui so concordou com o que eu disse valeu ai seu ninguem kkkkk	0
UgykxyVFbdg52HgJm6x4AaABAg	este bandido que se dizem policial devem todo morre foi uma execucao desnecessaria se foce em israel ja tavam todo morto pelo taliba	-1
UgyvWDsvn6GTFbJEMjp4AaABAg.9LUVFvbRkk49LV3459-tjD	flavia felix  saber oque e miseria e uma coisa pasar e conviver na miseria e outra entendeu dona bacharelado em direito	0
UgxljXu3UqZivSTksL54AaABAg	excelente parabens para a pm	1
UgzTReD6GvcokSuZoyl4AaABAg	nossa orgulha dessa mulher	1
UgyJqyOBR9ZoQZtxRGp4AaABAg	parabens policial	1
UgyYUyvQ3uUwZP3ejjJ4AaABAg	esse jornal  so passa oque  eles querem passar    nao  conta os fatos verdadeiro	0
UgysgweValwDJNlt5uJ4AaABAg	esse que gravou no final da reportagem  ele queima ou nao  queima	0
Ugxth6GqhQ6PbpTL4Ix4AaABAg.9TZiG_nXUVg9WpXU-W4Rf0	batman _ a pericia ja foi feita e foi confirmado que o fuzil estava em uma posicao de 45 graus aproximadamente repare bem o video	0
UgztjIHkzFWTx03I9lp4AaABAg.9LYq3ukNQii9LZd8bVrUBB	tovarishch_ markov z cala a boca baba ovo dos verme	0
Ugy7xX1Xf4EyE4V1bTd4AaABAg.9LTlJWNVE0e9LTnEhNVu8h	cesar pereira pereira muda o disco nao so existem bolsonaro e lula alem do mais bolsonaro nao fez merda nenhuma para evitar que a pandemja chegasse nesse nivel que estamos hoje	0
Ugw82azxOdzypEthvkJ4AaABAg	mentira abateram o cara sem chance	-1
UgzmbhLa33gZ50_lhgp4AaABAg	ela deve teu dado um peito muinto fedido pra  deixar ele tonto por isso ela derrubou	0
Ugwe2Y8X4_KeXLaAzah4AaABAg	parabens ao bope	1
UgwbcxTSVoN_7mGP4C94AaABAg	fez o primeiro e unico disparo porque os outros foram feitos la a esquerda para o alto dai eles atiram nele	0
UgwxwZ7HcsMx7_Y-RMJ4AaABAg	si fosse um sequestrador taba ate agora em nehociacap	0
Ugw2wL0R2R2NyohIrPt4AaABAg.9LWV6AtItfF9LaQ__ax5vV	samantha sousa ate mulher acha isso ksksks tem que concordar ou vai me dizer que fazer textinho no twitter vai mudar alguma coisa na sociedade	0
Ugw2wL0R2R2NyohIrPt4AaABAg.9LWV6AtItfF9YCz3OUb3-f	jheferson kayo essa raca existe kkk	0
UgzmOSTB8AiGUe2oliN4AaABAg	mostra as imagens laterais o cara tava numa distancia desgracada e apos atingido pelo policial a esquerda levou varios tiros no solo ainda vai tomar no cu se fosse bandido teria toda uma inteligencia paciencia e preparo	-1
UgwjY-Kr1kC_V75Dlop4AaABAg.9LTsVtlnMbk9LTw9wKZPU_	liberdade e teu rabo	0
UgzA8xbRv7v5YhxJgw14AaABAg	midia hipocrita desde de quando tres horas e negociacao meu repudio a essa atitude criminosa o soldado wesley estava pedindo socorro e foi executado	-1
Ugwx3QnxEM3PhGeFNt14AaABAg	mano eu vir isso foi aki no farol da barra	0
UgyXR2fxn_udkTjM8ZN4AaABAg.9LTnn_1nhu59LTpvxnIMON	isso ai bope e bope	1
UgyZ3FMYfEcuUsXiWah4AaABAg	isso sim e emponderamento feminino de quebra ainda muntou nas costas do vagabundo kkkkkkkkk	1
Ugw0S3cK4Ssi4G9KdaN4AaABAg	lamentavel a atitude do estado pois mesmo que estivesse oferecendo risco e nao ter refem achei a medida desarcetada e poderia usar outro meio de imobilizacao para evitar sua morte muito triste mesmo	-1
Ugzg83zqDGAwpzpNHm54AaABAg	parabens aos policiais do bope que cumpriram seu dever e mantiveram a ordem e a seguranca da populacao	1
Ugw85Wh0rDDbUQNdWEl4AaABAg	mulher porreta	0
UgxZZ-Adh71tyiF-YKp4AaABAg.9LTkO-VwIQN9LTpWeHpWg3	gente sem foto no perfil e posta video de joguinhos de pixel minecraft nao espere mt kkk	0
UgwegIZo1MRIxBv1uyZ4AaABAg.9LUm1cDbhgy9LV3NDT-rEf	caio mapa nao tenho a minima ideia do que a midia diz eu vi o video so procurar pra vc ver tambem	0
Ugw2wL0R2R2NyohIrPt4AaABAg.9LWV6AtItfF9LZx4OgxGFO	samantha sousa acho que vc nao entendeu direito ele disse que o que a pm fez isso sim e empoderamento e nao ficar no twitter militando e se dizendo empoderada	0
UgxeJD1vRbUKd6KH3Bd4AaABAg.9LUgr2gkKOS9LX5DWcy_FL	ele poderia ter aturado em voce ali ai voce ia junto com ele pros quinto e cada uma	0
Ugy8urNNxHCraKHi0IV4AaABAg.9LWQs8usZNb9L_SozhtnoP	jean vieira e qual a diferenca pro homem armado pra uma mulher armada	0
Ugz-TSsVoRNIhcisxC94AaABAg	elite da policia bando de chinelao executaram o proprio colega	-1
UgyklbT8rQfSnSHEhOl4AaABAg.9LVIYiGA9vG9LqA_7QBhup	nao vale a pena	0
Ugx12JPoMQXKi70cmQx4AaABAg	parabens a guerreira	1
UgwLBzhiVuBmfgFqWoZ4AaABAg	muitas pessoas estao criticando a acao dos policiais mais eles fizeram de tudo para nao matar o rapaz eu diria que eles ainda foram alem	1
Ugxoj7XZ99lvWHSMilB4AaABAg.9LU5WckTBWT9LU75twNgNR	im fraga eu ja vi umas 500 vezes no lugar de perguntar procura	0
UgwGxzJzRXmmLs8DE6R4AaABAg	parabens isso sim e uma noticia boa	1
UgxPg25uopZXg37abb94AaABAg	essa forma de negociacoes foi meter balatotalmente errado	-1
UgwvRBQNmYov54bnvsl4AaABAg	glokada adptada kkk	0
UgwBwOKNq1ylirzYKMZ4AaABAg.9LThSjXIrUv9LUd6zlgsZF	marcos juliano pegoraro fonseca ele nunca proferiu tal frase 	0
Ugw8JVISpehYjeoDA3x4AaABAg.9LXJDRnz0Ki9TMF4qcEF4i	oque aconteceu ele deve ter motivos pra isso	0
UgyX9nPlWDBx4I5ZV_Z4AaABAg.9LZIK1JA15h9LjQeg2ictR	giovane ribeiro a deputada bolsonarista bia kicis  eia que iniciou todo esse alarme melhor se informar pra depois  nao dizer que nao tem ideologias voce ate acusou o governador para de onda vai cansei desses teus textos de advogado do diabo	0
UgwBwOKNq1ylirzYKMZ4AaABAg.9LThSjXIrUv9LUaTqJRYoA	lucas d oliveira e deixar todos dentro de casa e morrer de fome 	0
UgzKLLXML1LtaeEnBwV4AaABAg	a volte trovi una donno meglio di mille luomo	0
UgypSlNqaVRtxEMybl94AaABAg.9LWLxgVY75n9LWn8MJvpv4	8601 sousa sai papa apusento ksksks	0
UgxZZ-Adh71tyiF-YKp4AaABAg.9LTkO-VwIQN9LTqCHzOIk4	estevestream o que tem a ver uma coisa com a outra  o que nao tinha visto na marcacao dos 006 sec em que ele atira em direcao aos policiais e o que tem a ver uma interpretacao com uma faculdade	0
UgzhWmMCCwk1iSOiAK54AaABAg.9LTomRCRvP_9LTrI49Ey79	o que tem haver bolsonaro mas blz e o lula que desviou bilhoes  dinheiro que poderia ser usado em hospitais e escolas no brasil todo cade boa parte foi dado a paises ditatoriais a sua presidenta dilma e outra que gastou em estadio que nem foi acabado direito porque tbm nao em escolas e hospitais e gracas ao lula e a dilma o brasil piorou e muito  o trafico dominou o pais inteiro	0
UgwY-buPhaha6fY9P1R4AaABAg	um monte de tiro pra derrubar um pm sao uma vergonha	-1
UgwGrdYQ6yBLhAhpAjZ4AaABAg	isto a globo nao mostra	0
UgxNbVlO1KW-6x24Nmx4AaABAg.9LZ1TtX08va9Lcwbdxzus4	tonny coimbra publica no teu canal para haver um debate acerca disso	0
UgyYsLBkidU2z8bbHWF4AaABAg.9LWV7Bhw3G99LaS15E-0eb	juliana silva ih argumento quebrado quando disse homem hetero vai generalizando quando chegar um verdadeiro machista vamos ver se vao gostar do proprio veneno kkkkkk	0
UgyJrbdjUm60SzOR_wN4AaABAg.9LV4rMajD6Z9LVMFN55L4S	joao jose silva costa curtaja sim lamento pelo colega voce e militar em outras equipes a fora ele ja teria sido abatido bem antes do que todo esse tempo o termo terrorista a fora medida rapida e atirar depois de varias tentativas de negociacao voce e militar cara a realidade bem diferente do que essa teoria um cara de fuzil descontrolado nao existe isso o tranquilizante leva tempo pra surtir efeito nao e instantaneamente arriscar alvejar um cao entre outros colegas nao e como voce ta pensando prevencao e ultima instancia e proteger a vida de mais colegas nao e incompetencia quando nao sabemos a medida efetiva a respeito de algo as pessoas tendem de chamar incompetencia infelizmente foi um colega surtado que perdeu a vida mas nao adiantou arriscar os outrem jamais que a equipe ia querer fazer isso enfim	1
UgwSzdCLMgon2muTMBt4AaABAg	de fiat uno ainda kkkkk	0
UgyDuT-Kd2__xNPAS5N4AaABAg.9LWNzHRfHb39LWYhEz0oll	aposentada kkkkkk nao nao tem que se preocupar com panca	0
Ugx34FjYb9knNYsNq1t4AaABAg.9LVusi3D_Cl9LW6LB4FyHG	como tu acha que funciona um tranquilizante brother	0
Ugwn4GQinNP6vmM8F394AaABAg	malandro e malandro mane e mane	0
UgwBixGgZvb5z3iGCtl4AaABAg.9LWXgyXfKM79LXg2b88mhd	coloca no minuto 111 entao animal isso ai e pra cima 	0
Ugy_46g8ZU6d1oVu9-V4AaABAg.9L_9P305dtN9Lfwsw4h-D3	o gado e essa mania agora de falar do stf	0
UgwCsSWdraJs7--7krh4AaABAg	nao falam que bandido bom e bandido morto esse era so um bandido tentando fazer terrorismo disparou contra os agentes que tentavam controlar a situacao e foi respondido proporcionalmente	1
UgxqNLgOpuOsrPbhhM14AaABAg.9LU8_KM5Yj59LUgEdyioch	alexandro fernandes voce lembrara das minhas palavras pequenas gafanhoto	0
UgzkWpbDjnO_KZvthrF4AaABAg	ela esta certissima eu faria a mesma coisa	1
UgxCmFcmjQkQ6n0mPx14AaABAg.9LXTwIPJpxP9Lj9LpR7rTQ	l4tam tv mentiroso voce e cego ou o que ve denovo o video pra parar de falar merda	0
UgxlUIPp0ecDtY-69sx4AaABAg.9LWM2nfkB5L9LWQfxvUBk0	carlos e a dos santos suica tem uma arma pra cada cidadao e tem umas das menores taxa de homicidio do mundo	0
UgwBwOKNq1ylirzYKMZ4AaABAg.9LThSjXIrUv9LUQHJWPhyu	joao vitor silva melo se ele quisesse realmente protestar  ele protestava em frente a casa do governador em frente ao congresso nacional  em frente ao palacio do planalto  de forma pacifica sem colocar a vida de ninguem em risco	0
UgygC_B7QDAC67H_Hs94AaABAg	jornazistas hoje e seu dia  primeiro de abril 	0
Ugz4R0BVTC6OQAjOQjh4AaABAg.9LWZ7WJrOJg9L_-TtnzY_L	renato amaral e voces com as suas burrices kkkk	0
UgyVi_MSIEwdybDhjlt4AaABAg.9LTs1XA5ugi9LUBro03rs6	rosangela empreendedor nota mil muuuh	0
UgwGd4gutNv8I5Dvcht4AaABAg	deem uma medalha a essa mulher isso ai parabens a fem	1
UgxExoTcJvg_g5IYtgl4AaABAg	covardia isso  o nome disso e patifaria	-1
Ugy1Y9nTHDjcZfYVGdh4AaABAg.9LUbNtbk2Ab9LUc01b_2wM	ele disse isso antes ou depois de jogar os pertences do ambulante no mar	0
UgzGWIgqY2We-qQ7xx94AaABAg	parabens bom seria matarmenos um	1
Ugw2wL0R2R2NyohIrPt4AaABAg.9LWV6AtItfF9MPpt32EStQ	gabriel santos santos ain seu machista encher o saco de outro nmrl	0
Ugxth6GqhQ6PbpTL4Ix4AaABAg.9TZiG_nXUVg9Y6vOqZQLPY	as palavras dele foram bonitas e assim eu concordo com vc	0
UgyDOM4COMZU6umu0OF4AaABAg	sera que as feministas vao homenageala	0
UgweobO-UTypHb1rHZt4AaABAg	da para ver muito bem na imagem que o policial quando esta caindo no chao eles da continuam tirando bando de covarde se fosse um vagabundo ele nao tinha reagido assim	-1
Ugy1iuQN9xCzx9RswWd4AaABAg	o treinamento fez toda diferenca  e a pessoa tambem tem a ver  porque se dedicou 	0
UgxdYevsDN_XhnQTlpR4AaABAg	ele nao surtou coisa nenhuma abateram o pobre rapaz como um gado	-1
UgxlgPapzfSrxuq8rHJ4AaABAg.9LV-dkjIqON9LVC4glD5_x	nao foi uma revolta foi um quadro de surto psicotico e o nome clinico pra uma situacao de mudanca repentina e descontrolada de comportamento ocasionada por estresse depressao etc	0
UgyrbSyJDTcusbbZgY54AaABAg.9LTrCQssbml9LTt3YAiv00	eles revidaram a injusta agressao	1
UgwLuxct0lFvsVn6Met4AaABAg	parabens muito orgulho	1
UgxZewNaUykZiR1KbGd4AaABAg	pra mim isso e um terrorista e com terrorista nao se negocia	1
UgxuaQ55zUWdq_KtgqV4AaABAg	mulher retada	0
Ugw2wL0R2R2NyohIrPt4AaABAg.9LWV6AtItfF9LZyzzUVP9p	matheus vitor queria saber tambem de onde vc tirou que eu falei que machismo e preconceito e opiniao responde ai man tu nao e o brabo	0
Ugz47dsHVKxNzCmnf894AaABAg	ede arrepiar parabens para essa eroina	1
Ugw9zpoB7OZ8GezLClJ4AaABAg	se ele atirou onde foi parar o tiro   sera que um carro de bombeiro nao resolvia o problema com jato dagua ou um parente 	0
Ugz8l3Nk_veR-get-394AaABAg	a turma da lacracao adora chamar bandido de refem da sociedade parabens policial	1
UgwbaRDfTbjX40ghTBR4AaABAg	parabens para essa policial aposentado como mesmo disse o reporter mesmo aposentado o policial nunca vai deixar de ser um policial	1
UgxRHAhuqanpOs7R0Ap4AaABAg	loucura meu ovo	0
UgxQYJJbrpNufG6Do7p4AaABAg	fizeram foi fuzilar o pm rapaz sera que nao existia outra forma muito dificil ele vai ser um martir	-1
Ugzz5lt4WVOQXTZmtnB4AaABAg	midia suja	0
UgyP8c9cJrlK5n6oDt54AaABAg	a imprensa e inimiga do povo de bem do brasil se esses merdas quisessem tinha atirado na perna do guerreiro nao tinha necessidade de abater o soldado covardemente esses governadores de esquerda querem o caos no brasil	-1
Ugw-9M38VM0lRHWfkbp4AaABAg	top top top	0
Ugy73UlekuDuIQDuz9Z4AaABAg.9LV-C9EV45l9LWPSnueN0a	costa barros taliba carai kkkkkk	0
UgzpjAqFwHZufEVStW14AaABAg	muita falta de nocao poderiam ter contido ele com outras coisas e nao fuzilar como um bandido qualquer	-1
UgxCeaOo_ioz2UQzdph4AaABAg.9LTrooPJyE39LUJ0mwrsJK	nem teria protestos  pq la  ordem tolas nao  se cumpri la  ninguem  vai prender  trabalhadores	0
UgzJTqLXyJSbv9-cYzZ4AaABAg	intrigante as pessoas comecaram a passar fome no brasil depois do lockdown antes nao tinha luta a favor dos menos favorecidos	0
UgzV62bL8ewo86_EZTB4AaABAg	e uma verdadeira loba feroz	1
Ugy1Y9nTHDjcZfYVGdh4AaABAg.9LUbNtbk2Ab9LhzcLl9Sg_	arcampos belo argumento explica muita coisa mas pelo menos tu foi dormir feliz de ter dado sua baita opiniao nao net ne argumento ideias   desenvolvimento  que e bom nada kkkkk  e assim que mito chega no poder	0
Ugz9wnqCEDShTeqJu694AaABAg.9LY6tprNIN29LgnYEbma22	hikki_rax voce treina alguma coisa  o acha que e que nem naruto na vida real  brinks	0
UgwKnBFS1WPGZbR36mN4AaABAg	os policias agiram certo parabens  porra o carae atira com fuzil a queima roupa direto para guarnicao  uma coisa e surta com faca outra com arma sendo fuzil pior ainda e se o surto  piora e o cara atira direto para uma multidao e aiii        morreu pois mereceu	1
Ugz2MLKRPBoXphVt8u14AaABAg	ele sim fez o que qualquer policial no mundo inteiro tinha responsabilidade de fazer nao se curvar a uma ordem obviamente perversa e foi morto pediu apoio de ate cidadaos porem nenhum da populacao por qual ele deu a sua vida teve a coragem de assim o fazer tambem por ele que vergonha brazil que vergonha povo que vende seus direito por bolsa miseria e pra que pra ver o que o brasil tinha de melhor ser derrubado como um bandido brasil tenho pena de ti que deus tenha misericordia de vos	1
UgwTAnmaSCh5cHSuvBh4AaABAg	nunca duvide de uma vovo	0
UgwkffejanDE9QfYIpZ4AaABAg.9LUcB9zthJH9LVrw_1xe9h	luis  isso mesmo  bandido bom e bandido morto queria ver se ele tivesse ferido alguem  se esse bolsonaristas arrombados iriam falar alguma coisa  parabens verdadeira policia da bahia 	1
UgxAGB1_U1pnClJbrUh4AaABAg	magro e a gorda	0
UgzT6Q7TqFkUn-usaMJ4AaABAg.9LTlR41tfy-9LUFbl-I86F	lacerda n fale besteira a policia tem treinamentos e armamentos especificos para esse tipo de caso poderiam lancar um tranquilizante no cara oi ate uma bomba de fumaca pra desmaiar ele preferiram matar	-1
UgyzuufcwALSYjm9ydt4AaABAg.9LWL3uSBXQa9LWbb6sCxI6	bom dia  ai nesta cituacao o estado teve que agir com letalidade sim  infelizmente o entao policial militar estava fora do teu juizo perfeito e com uma arma letal em maos e efetuou disparo contra os pms colocando em risco a sociedade e a vida dos policiais chamado para a ocorrencia infelizmente esta e a verdade  na minha opiniao o estado atuou certo	1
UgxG9ObFalVLqCnCyhx4AaABAg	kkkkkkk botei fe na tia ai topada ela botou quente no ladrao safado	1
Ugx6GSYIq9BdNUPCNrh4AaABAg	parabens pra ela  55 ladrao safado  cem vergonha malandro agulha so leva na banda kkkkkkkkk	0
Ugz10ObAHvJefYnumV94AaABAg.9LU8SpG0pQt9LUA0wsWRs6	kkkkkkkkkkkkkkkkkkkkkkkkkk falou o especialista de cs	0
Ugxoao9B3YsmMoahO0V4AaABAg.9LTk83Z2zhs9LTm4U4gdzx	o que tem haver atirar para frente com matar o cara ele feriu alguem machucou alguem logo a atitude do bope foi deploravel	-1
Ugw-ki8utN-M1xdQYGB4AaABAg	essa ai e mais empoderada que qualquer militante feminista de internet	1
UgwShkV8vzzOdOVQXSd4AaABAg.9LVWA07u8659LXeOc0d75v	fui militar muitos anos no exercito  so os verdadeiros militares suportam uma missao dessas esse policial morto era problematico e por isso mereceu ser morto	1
UgzX_7jtuZ4-RZ0ex4J4AaABAg	pelo menos uma pra salvar	1
UgyzVufx-RPhDkCbiIR4AaABAg	ja que ele estava tao perto porque nao usaram uma arma nao legal como a arma de choque por exemplo	-1
UgztfFETBWttbOJpiHB4AaABAg	ela parece ser nova e ja se aposentou karaka kkkkk	0
Ugyat3K9vnD5Z0qNtcl4AaABAg	empoderamento feminino	0
UgxWUy-6cHa1ozsq-q54AaABAg	friamente executado por aqueles que ele chamava de irmaos	1
UgzEVRYQ0zMS6CK_lQR4AaABAg.9LWxyXulMSd9LXHaDybiTB	studio oliveira o fato se deu por surto do policial e que foi morto apos disparar contra seus colegas foi isso que aconteceu nao houve heroismo apenas tragedia envolvendo um policial adoecido mentalmente	-1
UgyhbEHnrduHN4_0D_Z4AaABAg.9LTk4wWHm4N9LTr7mx-oJe	bis o melhor porque ele estudounao e igual a voceum parasita da internet	0
Ugy8JqxJxJb6LM2pksR4AaABAg	essa mulher ai deixa qualquer policial novato no chinelo	1
UgxeJD1vRbUKd6KH3Bd4AaABAg.9LUgr2gkKOS9LWwOUinw7Y	pronto agora virou desculpa de todo bandido assassino estuprador  eu tive um surto nao e culpa minha   bala nesse otario protestar e uma coisa querer matar amigo colega de profissao e outra um bandido a menos bandido de farda	-1
Ugye7w5zfB284vmGnl94AaABAg.9LKHUX8pNd99LOe38_X5mT	kenwalker sim	0
UgxnLIeSC-HDVKXqNj54AaABAg	pai ta estourado esquece kkkkkkkkkkk	0
UgzliuerWuQb4Tf8vlZ4AaABAg	os cara e artista o  povo q n gosta de funk o cistema que nao gosta de ouvir a vdd na musica quer derrubar o funk mas nao vai arrumar nada o funk vai ser pra sempre e vai ter mais e mais mc e mais musica	0
UgxNPjzfoanqBMK1_OJ4AaABAg.9LUwFzAUV0i9LX8ZfhVK8I	itz vig1l o mano nao vem mim explicar oque eu sei nao flw	0
UgxA2ifpwsBzDNoUieR4AaABAg.9LJUV0IWCaI9LJbeceRCIB	markzin zin zin zin pronto nada	0
UgydrjDImKuT38_n_P94AaABAg	esse mc de rosa eu nao conheco 	0
Ugz0VCUDOlpAGRUeI554AaABAg	vai pega bandido na favela que melhor mc pedrinho e o melhor	0
UgzQo0Hg90kB0JeaphF4AaABAg.9LK7ITcUQMh9LT96IHagnW	guilherme lima se milhoes comem bostavc tmb vaikkk	0
UgyMRSnjBSBCS-LrUC94AaABAg.9LJStrrbF9m9LJcDoAoYvs	ja falou bosta seu merda	0
UgwJ7GTb7BWkDQk6vIN4AaABAg.9LJRKtlSK1t9LJT0P0HDRf	wlisses ribeiro ata kkkj	0
UgxuMSsfvA0FUHNObLx4AaABAg	pq que eles nao vai atras dos traficantes vtnc	-1
Ugz_bP-b0T466_SvjxB4AaABAg.9LJQXmcGnOV9LJwkeLNnO1	mel shu pois e mel uma coisa que todos podem ter e nao depende de dinheiro ou classe social e educacao te agradeco pelo elogionem todos sao como eu e voce eu so posso ter pena desses jovens porem a vida lhe dara a licao merecida ja que nao tiveram licao em casa	0
UgzU2bogRxsGg6-R_yl4AaABAg	abre  a boca pra fala dmais oq nao sabe engana com a mentira camuflado a verdade nao cei c e desapego ou c e na maldade     nao adianta puchar o bomd c o povo nao c uni o sistema c implantou os eles querem e isso aquir    eles criaram o sistema q joga as pessoa na vida da maldita droga q destroi a vida de irmaos e irmasparem pra pemsar na ilusao q eolha os acontc no dia a dia	0
Ugxyx1vn_qBALqfHTpB4AaABAg	ate que enfim vao prender esses noias	1
UgzZeXQpmOkYNX9eCBd4AaABAg	a maioria dos mcs ficam ricos atraves do trafico mesmo	0
Ugz_bP-b0T466_SvjxB4AaABAg.9LJQXmcGnOV9LJo6daCSEf	loock_br minha mulher e diferente da tua mae podes ter certeza claro que todos vao morrer mas ai tens a escolhar de viver bem com dignidade ou viver mal correndo da policia ou dependendo dos outros	0
UgxK57_SCB8Irrtuy5F4AaABAg.9LJkV77aoxo9LNBknxTh1Y	fodase que peguem mcs policias politicos qualquer bandido	1
UgydsxhGsLJxtoPnpNd4AaABAg.9LJUNfE8Tdx9LL8nBW3zvZ	nunca meu chapa	0
Ugw-YKbATSWh0n9FUu14AaABAg.9LUS3iKlKAm9MemjHwdJHj	1m bl1nd mds cara n se faz de desentendido vc sabe de qual tipo de funkeiro eu estou falando ai vc vem me citar uma crianca poha cara ai vc fode ne	0
UgxYNzvUdAEz2NjCe7F4AaABAg.9LOYzLMV9FL9LPOG4yO1eG	boa boa pra geral  ai so da idea que soltei uns versos la no insta confere la      httpswwwinstagramcomtvcm5y9pxj8roigshid5j69xb5zfj3y	0
UgzPnDOuxDyktqJ-3sp4AaABAg	vai la investigar casa de politico isso os cara n faz ne sabem q vao encontrar kilos e kilos de coca tudo burgues safado ce usa droga e luta contra dependencia quimica agr ce pobre usa e noia traficante e vagabundo ta tudo errado nessa poha pare o mundo q eu quero descer	-1
UgzNQI-gWBN9kAeHSnB4AaABAg	tudo bandido	1
Ugzjb3Az_-YpawP4AOZ4AaABAg	nao vao arruma nada kkkjj	0
UgzBJgFVzWhp9Wx7uaZ4AaABAg.9LJab3TkorS9NjfGIZYRqb	doideiramaior ja foi comprovado que os mcs nao tem envolvimento otarioagr quero ver passar na midia	-1
UgydsxhGsLJxtoPnpNd4AaABAg.9LJUNfE8Tdx9LJaLVr6Hdh	gabriel sch kkkkkkk	0
UgzyC0Qnbf4OecjS39J4AaABAg.9LJRBtYrzXP9LOQ0G0Psz_	cadu vc e cego	0
Ugzfwu_PNBQ2cP_kbg14AaABAg	videos dele sendo conduzido	0
UgzQo0Hg90kB0JeaphF4AaABAg.9LK7ITcUQMh9LUzJKWwcxY	sd stive tem diferenca entre musica e entre bostase vc acho seu comentario engracado parabens pq foi o pior	0
